                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1788,                 2.8771,                  1.427,                0.74311,                0.14535,                 0.3391,                0.20088,                 1.1753,                 3.1681,                 1.4704,             0.00041071,             0.00041071,             0.00041071
                      2,                 1.2295,                 2.2596,                  1.435,                0.45976,                 0.2025,                0.26888,                0.12532,                  1.469,                 4.5015,                 1.7017,             0.00082192,             0.00082192,             0.00082192
                      3,                 1.2496,                 2.0599,                 1.4535,                0.66955,                 0.1686,                0.22933,                0.11846,                 1.4266,                  3.813,                 1.7125,              0.0012276,              0.0012276,              0.0012276
                      4,                 1.2864,                 1.9247,                 1.4539,                0.41335,                0.25991,                0.39041,                0.18736,                 1.5844,                 3.0216,                 1.9724,              0.0012252,              0.0012252,              0.0012252
                      5,                 1.2515,                 1.7077,                 1.4271,                 0.4195,                 0.4441,                0.45303,                0.24965,                 1.4481,                 2.6166,                 1.6649,               0.001217,               0.001217,               0.001217
                      6,                   1.23,                 1.5764,                 1.4128,                0.78375,                0.18605,                0.42632,                0.24531,                 1.3509,                 2.7784,                 1.5901,              0.0012087,              0.0012087,              0.0012087
                      7,                 1.2005,                 1.4965,                 1.3691,                0.62276,                0.30283,                0.36861,                0.22317,                 1.3249,                  3.019,                 1.5588,              0.0012005,              0.0012005,              0.0012005
                      8,                 1.2087,                 1.4656,                 1.3863,                0.76231,                0.23256,                0.34387,                0.19199,                 1.3452,                 3.0547,                 1.5982,              0.0011922,              0.0011922,              0.0011922
                      9,                 1.2011,                 1.4263,                 1.3748,                0.74079,                0.22093,                 0.4809,                0.28405,                 1.3021,                  2.908,                 1.5019,               0.001184,               0.001184,               0.001184
                     10,                 1.1695,                 1.3355,                 1.3645,                0.70838,                0.25758,                 0.4954,                0.30758,                 1.3019,                 2.8354,                 1.5418,              0.0011757,              0.0011757,              0.0011757
                     11,                 1.1599,                 1.3192,                 1.3466,                0.47636,                0.38237,                0.36781,                0.22259,                 1.4624,                  2.801,                  1.647,              0.0011675,              0.0011675,              0.0011675
                     12,                 1.1471,                 1.2544,                 1.3469,                0.47913,                0.39041,                0.46415,                0.28805,                 1.3118,                 2.6007,                 1.5039,              0.0011593,              0.0011593,              0.0011593
                     13,                 1.1167,                 1.2521,                 1.3342,                0.44628,                0.49068,                 0.5222,                0.33454,                 1.2802,                 2.4642,                 1.4647,               0.001151,               0.001151,               0.001151
                     14,                  1.111,                 1.1828,                 1.3244,                0.72219,                0.26163,                0.45899,                0.29394,                 1.1977,                 3.0214,                 1.4143,              0.0011428,              0.0011428,              0.0011428
                     15,                 1.0756,                  1.187,                 1.3013,                0.14172,                0.93192,                0.47575,                0.27942,                 1.4149,                   2.88,                 1.6472,              0.0011345,              0.0011345,              0.0011345
                     16,                  1.093,                 1.1545,                 1.2964,                0.47519,                0.55366,                0.56661,                0.37255,                 1.2394,                 2.1842,                 1.4392,              0.0011263,              0.0011263,              0.0011263
                     17,                 1.0406,                 1.0794,                 1.2801,                 0.5599,                0.49591,                0.55187,                0.36014,                 1.2283,                 2.4114,                 1.4222,               0.001118,               0.001118,               0.001118
                     18,                 1.0675,                 1.1003,                 1.2951,                0.31699,                0.59335,                0.41621,                0.27552,                 1.1977,                 2.9037,                 1.3893,              0.0011098,              0.0011098,              0.0011098
                     19,                 1.0593,                 1.1059,                 1.2922,                0.54709,                0.41807,                0.50944,                0.32901,                 1.3619,                 2.4871,                 1.5001,              0.0011015,              0.0011015,              0.0011015
                     20,                 1.0595,                 1.0364,                  1.293,                0.51479,                0.44899,                0.48983,                0.31373,                 1.2795,                 2.3948,                 1.4703,              0.0010933,              0.0010933,              0.0010933
                     21,                 1.0567,                  1.045,                 1.2807,                0.51456,                0.42533,                0.46183,                0.28343,                 1.3581,                 2.0587,                 1.5414,               0.001085,               0.001085,               0.001085
                     22,                 1.0286,                 1.0597,                  1.267,                0.48723,                0.50077,                0.52574,                0.35338,                 1.2175,                  2.232,                 1.4392,              0.0010768,              0.0010768,              0.0010768
                     23,                 1.0306,                0.98862,                 1.2722,                0.44665,                0.45353,                0.42857,                0.27439,                 1.2959,                 2.2313,                 1.4822,              0.0010685,              0.0010685,              0.0010685
                     24,                 1.0084,                0.99526,                  1.245,                0.56271,                0.51461,                0.58881,                0.38873,                 1.2685,                 2.0487,                 1.4527,              0.0010603,              0.0010603,              0.0010603
                     25,                 1.0334,                0.99729,                 1.2608,                0.55239,                0.46471,                0.57713,                0.38238,                 1.1961,                 2.1629,                 1.4122,               0.001052,               0.001052,               0.001052
                     26,                0.99511,                0.97387,                 1.2448,                0.47376,                0.50289,                0.49317,                 0.3322,                 1.2187,                 2.0481,                 1.4218,              0.0010438,              0.0010438,              0.0010438
                     27,                0.98513,                0.95484,                 1.2399,                0.48276,                  0.448,                0.50246,                0.32876,                 1.2075,                 2.0941,                 1.3835,              0.0010355,              0.0010355,              0.0010355
                     28,                 1.0044,                0.93661,                 1.2414,                0.51514,                0.64964,                0.59303,                0.37728,                 1.2431,                 2.1742,                 1.4241,              0.0010273,              0.0010273,              0.0010273
                     29,                0.96714,                 0.9241,                 1.2266,                0.60823,                0.45679,                0.55682,                0.36163,                 1.2241,                 2.2245,                 1.4392,               0.001019,               0.001019,               0.001019
                     30,                0.96671,                0.92721,                 1.2308,                0.57453,                0.53467,                0.62168,                0.40377,                 1.2761,                 2.0813,                 1.4649,              0.0010107,              0.0010107,              0.0010107
                     31,                0.98158,                0.92378,                 1.2396,                0.57256,                 0.4144,                0.52567,                0.33635,                 1.2233,                 2.2699,                 1.4298,              0.0010025,              0.0010025,              0.0010025
                     32,                 0.9458,                0.89604,                 1.2207,                 0.4817,                0.59128,                0.57148,                0.38558,                 1.2307,                 2.1309,                 1.3804,             0.00099425,             0.00099425,             0.00099425
                     33,                0.97894,                0.89665,                 1.2318,                0.54775,                0.47753,                0.56766,                0.36164,                 1.2256,                  1.846,                 1.4072,               0.000986,               0.000986,               0.000986
                     34,                  0.924,                0.86682,                 1.1986,                0.56863,                0.46312,                0.51799,                0.34705,                 1.1777,                 1.9311,                 1.3822,             0.00097775,             0.00097775,             0.00097775
                     35,                0.95727,                 0.9149,                 1.2183,                0.51514,                0.56128,                0.55786,                0.35826,                 1.2488,                 2.2013,                  1.428,              0.0009695,              0.0009695,              0.0009695
                     36,                0.90402,                 0.8198,                 1.1892,                0.52912,                0.58104,                0.56368,                 0.3653,                 1.1943,                 1.9496,                 1.3731,             0.00096125,             0.00096125,             0.00096125
                     37,                0.93362,                0.87146,                 1.2005,                 0.5577,                 0.4684,                0.50835,                0.33434,                 1.1887,                 2.0665,                 1.3858,               0.000953,               0.000953,               0.000953
                     38,                0.93602,                0.85835,                 1.2019,                0.50397,                0.54916,                0.53893,                0.35721,                 1.2253,                 2.0237,                 1.4117,             0.00094475,             0.00094475,             0.00094475
                     39,                 0.9366,                0.84321,                  1.191,                0.59155,                0.53084,                0.58612,                0.40089,                 1.1598,                 1.7745,                 1.3521,              0.0009365,              0.0009365,              0.0009365
                     40,                0.92694,                0.85272,                 1.2031,                0.60263,                0.47181,                0.60056,                0.38754,                 1.1529,                  1.903,                 1.3436,             0.00092825,             0.00092825,             0.00092825
                     41,                0.91705,                0.83231,                 1.1817,                0.54147,                0.53253,                0.54505,                0.35367,                 1.2127,                 1.8186,                 1.4194,                0.00092,                0.00092,                0.00092
                     42,                0.90433,                0.82643,                 1.1803,                0.51451,                 0.5097,                0.55122,                0.35757,                 1.2291,                 2.0366,                 1.4099,             0.00091175,             0.00091175,             0.00091175
                     43,                0.88813,                0.77868,                 1.1732,                0.56553,                0.58375,                0.60222,                0.40735,                 1.1698,                 1.6123,                 1.3822,              0.0009035,              0.0009035,              0.0009035
                     44,                0.87877,                0.82685,                 1.1587,                0.53554,                0.58279,                0.52674,                0.35132,                 1.1769,                 2.1754,                 1.3977,             0.00089525,             0.00089525,             0.00089525
                     45,                0.88278,                0.79935,                 1.1721,                0.45793,                 0.5799,                0.57434,                0.35938,                 1.2832,                 2.1786,                 1.5025,               0.000887,               0.000887,               0.000887
                     46,                0.86313,                0.76856,                  1.164,                  0.571,                0.48631,                 0.5746,                0.36986,                 1.2036,                 2.0511,                 1.4048,             0.00087875,             0.00087875,             0.00087875
                     47,                0.84994,                0.73445,                 1.1502,                0.61724,                0.47876,                0.55982,                0.36511,                  1.237,                 2.1346,                 1.4427,              0.0008705,              0.0008705,              0.0008705
                     48,                0.86845,                0.75722,                 1.1739,                0.60296,                0.59012,                 0.6217,                0.39555,                 1.1931,                 1.5836,                 1.4121,             0.00086225,             0.00086225,             0.00086225
                     49,                0.90834,                0.77442,                 1.1775,                0.53956,                0.56803,                0.55853,                0.36906,                 1.2044,                 2.1114,                 1.4174,               0.000854,               0.000854,               0.000854
                     50,                0.87529,                0.77642,                 1.1624,                0.55815,                0.47835,                0.57249,                0.36646,                 1.2043,                 2.0721,                 1.4056,             0.00084575,             0.00084575,             0.00084575
                     51,                0.86201,                0.76051,                 1.1537,                0.59574,                0.54774,                0.61667,                0.40729,                 1.1935,                 1.9167,                 1.3879,              0.0008375,              0.0008375,              0.0008375
                     52,                0.84665,                0.74175,                 1.1421,                0.64762,                0.50254,                0.61227,                0.41656,                 1.1683,                   1.59,                 1.3758,             0.00082925,             0.00082925,             0.00082925
                     53,                0.85931,                0.73968,                 1.1527,                0.61877,                0.48286,                0.58033,                0.38336,                 1.1711,                 1.9043,                  1.379,               0.000821,               0.000821,               0.000821
                     54,                0.83454,                0.72301,                 1.1445,                0.52358,                0.58244,                0.54743,                0.37438,                 1.1327,                 1.8394,                 1.3666,             0.00081275,             0.00081275,             0.00081275
                     55,                0.81192,                0.75563,                  1.141,                0.60359,                0.48832,                0.55746,                0.36947,                  1.221,                 1.9718,                 1.4455,              0.0008045,              0.0008045,              0.0008045
                     56,                0.84163,                0.70915,                 1.1389,                0.60585,                0.50573,                 0.5891,                0.37818,                 1.2188,                 1.8571,                 1.4094,             0.00079625,             0.00079625,             0.00079625
                     57,                0.83952,                0.71563,                  1.144,                0.66312,                0.54922,                0.61364,                0.41209,                 1.1197,                 1.7393,                 1.3319,               0.000788,               0.000788,               0.000788
                     58,                0.83536,                 0.6967,                 1.1393,                0.69462,                0.45512,                0.61265,                0.40644,                 1.1766,                 1.8782,                 1.3844,             0.00077975,             0.00077975,             0.00077975
                     59,                 0.8248,                0.71427,                 1.1322,                0.57677,                0.48544,                0.53775,                0.35329,                  1.179,                  2.169,                  1.388,              0.0007715,              0.0007715,              0.0007715
                     60,                0.83048,                0.71969,                 1.1388,                0.62447,                 0.5219,                0.57964,                 0.3889,                 1.1497,                 1.7209,                 1.3493,             0.00076325,             0.00076325,             0.00076325
                     61,                0.82704,                0.68367,                  1.142,                0.58708,                0.48181,                0.61968,                0.39091,                 1.1944,                 2.2857,                 1.3819,               0.000755,               0.000755,               0.000755
                     62,                0.80751,                0.67928,                 1.1161,                0.68782,                0.41977,                0.60317,                0.40436,                 1.1755,                 2.0718,                   1.38,             0.00074675,             0.00074675,             0.00074675
                     63,                0.81719,                0.68903,                 1.1403,                0.59593,                0.46094,                0.60144,                0.38891,                  1.194,                 2.0542,                 1.3765,              0.0007385,              0.0007385,              0.0007385
                     64,                0.80413,                0.67375,                 1.1187,                0.63401,                0.52981,                 0.5994,                0.39828,                 1.1064,                 1.8341,                 1.3372,             0.00073025,             0.00073025,             0.00073025
                     65,                0.80985,                0.69659,                 1.1351,                0.61211,                0.56544,                0.65165,                0.43708,                 1.1346,                 1.6344,                 1.3583,               0.000722,               0.000722,               0.000722
                     66,                 0.8074,                0.68846,                 1.1284,                0.74959,                0.37573,                 0.5922,                0.39566,                 1.1278,                 2.0519,                 1.3549,             0.00071375,             0.00071375,             0.00071375
                     67,                0.79722,                0.66737,                 1.1182,                0.64531,                0.54956,                0.61038,                0.38486,                 1.1546,                 1.7892,                 1.3741,              0.0007055,              0.0007055,              0.0007055
                     68,                0.78545,                0.65702,                 1.1165,                0.62208,                0.49709,                0.60797,                0.40368,                 1.1681,                  1.859,                 1.3752,             0.00069725,             0.00069725,             0.00069725
                     69,                0.80493,                0.66931,                 1.1242,                0.73265,                0.49922,                0.64124,                0.41551,                 1.1712,                 1.5995,                 1.3908,               0.000689,               0.000689,               0.000689
                     70,                0.77922,                0.64038,                 1.1063,                0.56201,                0.61451,                0.56833,                0.38078,                 1.1528,                 1.7823,                 1.3957,             0.00068075,             0.00068075,             0.00068075
                     71,                0.77196,                0.64856,                 1.1007,                0.62474,                0.57694,                0.59184,                0.40873,                 1.1371,                  1.645,                 1.3959,              0.0006725,              0.0006725,              0.0006725
                     72,                0.76466,                0.62663,                 1.1112,                0.63836,                0.60444,                0.66589,                0.46352,                 1.0811,                 1.5609,                 1.3318,             0.00066425,             0.00066425,             0.00066425
                     73,                0.76546,                0.62374,                 1.0911,                0.71196,                0.58343,                0.63821,                0.43404,                 1.1513,                  1.639,                 1.3733,               0.000656,               0.000656,               0.000656
                     74,                0.75144,                0.60487,                 1.0967,                0.63891,                0.50289,                0.59913,                0.39795,                 1.1495,                 2.0342,                 1.3817,             0.00064775,             0.00064775,             0.00064775
                     75,                0.76495,                0.62814,                  1.102,                0.61944,                0.47859,                0.54731,                0.37428,                 1.1474,                 2.1757,                 1.3437,              0.0006395,              0.0006395,              0.0006395
                     76,                0.75778,                0.60936,                 1.0978,                 0.7053,                0.50643,                0.66737,                0.45132,                  1.121,                 1.9182,                 1.3444,             0.00063125,             0.00063125,             0.00063125
                     77,                0.75447,                0.61511,                 1.0869,                0.62772,                0.51736,                0.60751,                0.41084,                 1.1424,                 1.8303,                 1.3725,               0.000623,               0.000623,               0.000623
                     78,                0.74704,                0.61611,                 1.0873,                0.66112,                0.57793,                0.65104,                0.43294,                 1.1433,                 1.5656,                 1.3965,             0.00061475,             0.00061475,             0.00061475
                     79,                0.75345,                0.60473,                 1.0986,                0.72539,                0.49311,                0.64152,                0.43398,                 1.1454,                 1.7149,                 1.3976,              0.0006065,              0.0006065,              0.0006065
                     80,                0.72794,                0.58889,                 1.0738,                0.52052,                0.52779,                0.56493,                 0.3984,                 1.1306,                 2.4421,                 1.3245,             0.00059825,             0.00059825,             0.00059825
                     81,                0.72884,                0.60459,                  1.073,                0.69333,                0.50701,                0.64671,                0.44314,                 1.1042,                 1.6667,                 1.3449,                0.00059,                0.00059,                0.00059
                     82,                0.73576,                0.60064,                 1.0832,                0.75532,                 0.5066,                0.67269,                 0.4636,                 1.1081,                 1.5061,                  1.349,             0.00058175,             0.00058175,             0.00058175
                     83,                 0.7355,                0.60331,                 1.0841,                0.74108,                0.50666,                 0.6679,                0.44369,                 1.1164,                  1.755,                 1.3575,              0.0005735,              0.0005735,              0.0005735
                     84,                 0.7305,                0.60551,                 1.0805,                0.62372,                0.63784,                0.66804,                0.45007,                 1.1257,                 1.7642,                 1.3349,             0.00056525,             0.00056525,             0.00056525
                     85,                0.73263,                0.61134,                 1.0913,                0.67594,                0.55001,                0.63982,                0.44527,                 1.1223,                 1.9783,                 1.3348,               0.000557,               0.000557,               0.000557
                     86,                0.71313,                0.57672,                 1.0699,                0.65119,                0.56227,                0.65777,                0.44254,                 1.1292,                 1.8061,                 1.3502,             0.00054875,             0.00054875,             0.00054875
                     87,                0.73965,                0.58863,                 1.0851,                0.72236,                0.52299,                0.65025,                0.43199,                 1.1427,                 1.8367,                 1.3692,              0.0005405,              0.0005405,              0.0005405
                     88,                0.71455,                0.57593,                 1.0634,                  0.622,                0.60671,                0.63147,                 0.4356,                 1.1021,                 1.6349,                  1.333,             0.00053225,             0.00053225,             0.00053225
                     89,                0.71047,                0.58324,                 1.0717,                0.62963,                0.49619,                 0.5639,                0.37315,                  1.149,                 2.1605,                 1.3702,               0.000524,               0.000524,               0.000524
                     90,                0.69531,                0.56378,                 1.0692,                0.60942,                0.52316,                0.59808,                0.40341,                 1.1116,                 2.0548,                 1.3417,             0.00051575,             0.00051575,             0.00051575
                     91,                0.68073,                0.53494,                 1.0572,                0.68919,                0.53259,                0.65864,                0.44917,                 1.1162,                  1.896,                 1.3596,              0.0005075,              0.0005075,              0.0005075
                     92,                0.69483,                0.54237,                 1.0517,                0.70479,                0.50265,                0.64781,                0.43927,                 1.0644,                 1.7427,                 1.3114,             0.00049925,             0.00049925,             0.00049925
                     93,                0.69705,                0.55282,                  1.074,                0.63912,                0.60897,                0.65892,                0.44826,                 1.1225,                 1.7663,                 1.3495,               0.000491,               0.000491,               0.000491
                     94,                0.69736,                0.53594,                 1.0541,                0.68883,                  0.563,                0.66663,                0.45001,                 1.0958,                 1.8104,                 1.3471,             0.00048275,             0.00048275,             0.00048275
                     95,                 0.7004,                 0.5393,                 1.0679,                0.63673,                0.58117,                0.65525,                0.43982,                 1.1105,                  1.882,                 1.3346,              0.0004745,              0.0004745,              0.0004745
                     96,                0.69722,                0.54935,                 1.0717,                0.67191,                0.51251,                0.60668,                0.40483,                  1.134,                  1.919,                  1.359,             0.00046625,             0.00046625,             0.00046625
                     97,                0.68135,                 0.5447,                 1.0571,                0.74387,                0.53558,                0.64984,                0.45227,                 1.0889,                 1.6344,                 1.3365,               0.000458,               0.000458,               0.000458
                     98,                0.68475,                0.54424,                 1.0516,                0.63022,                0.64859,                0.67071,                0.46525,                  1.073,                  1.613,                 1.3047,             0.00044975,             0.00044975,             0.00044975
                     99,                0.67147,                0.53348,                 1.0537,                0.65985,                0.51608,                0.66311,                0.45563,                 1.1322,                 2.0337,                 1.3701,              0.0004415,              0.0004415,              0.0004415
