                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8512,                0.70505,                 1.1839,                0.85312,                0.78843,                0.90245,                0.65283,                 1.0068,                0.68149,                 1.3913,              0.0011059,              0.0011059,              0.0011059
                     36,                0.84242,                0.68585,                  1.181,                0.82399,                0.84186,                0.88998,                0.64463,                 1.0284,                0.85128,                 1.3442,              0.0010894,              0.0010894,              0.0010894
                     37,                0.85053,                0.69273,                 1.1752,                0.87958,                0.85048,                 0.9113,                0.65984,                0.98498,                0.71733,                 1.3243,              0.0010729,              0.0010729,              0.0010729
                     38,                0.85483,                0.68569,                 1.1736,                0.90536,                0.81248,                0.92217,                0.69022,                0.92553,                0.62695,                 1.2896,              0.0010564,              0.0010564,              0.0010564
                     39,                0.80885,                0.65444,                 1.1593,                0.87216,                0.87748,                 0.9136,                 0.6726,                0.95189,                0.61468,                 1.3499,              0.0010399,              0.0010399,              0.0010399
                     40,                0.80446,                0.64728,                 1.1528,                0.92819,                 0.8093,                0.92258,                0.68326,                 0.9345,                0.66444,                 1.3233,              0.0010234,              0.0010234,              0.0010234
                     41,                0.83599,                0.68506,                 1.1715,                0.85978,                0.88213,                0.93333,                 0.6819,                0.99171,                0.66707,                 1.3725,              0.0010069,              0.0010069,              0.0010069
                     42,                0.80072,                 0.6457,                 1.1569,                 0.9043,                0.81687,                0.92309,                0.69404,                 0.9847,                0.64662,                 1.3616,             0.00099036,             0.00099036,             0.00099036
                     43,                0.81638,                0.66614,                  1.161,                0.87689,                0.81131,                0.90289,                0.67454,                0.99366,                0.69944,                 1.4036,             0.00097386,             0.00097386,             0.00097386
                     44,                0.82292,                0.64198,                 1.1648,                0.89873,                0.82758,                0.90593,                0.66658,                0.99945,                0.67532,                 1.4064,             0.00095736,             0.00095736,             0.00095736
                     45,                0.81907,                0.63108,                 1.1601,                0.90589,                0.85618,                0.93194,                0.68346,                0.98197,                0.59233,                 1.3496,             0.00094085,             0.00094085,             0.00094085
                     46,                0.79038,                0.64509,                 1.1321,                0.84114,                0.84279,                0.90796,                0.68151,                0.96853,                0.65147,                 1.3523,             0.00092435,             0.00092435,             0.00092435
                     47,                0.79828,                0.64522,                  1.153,                0.85608,                 0.8546,                0.91189,                0.67806,                0.98134,                0.58218,                 1.3703,             0.00090785,             0.00090785,             0.00090785
                     48,                0.77317,                0.63019,                 1.1355,                0.89293,                0.90803,                0.93871,                0.71042,                0.93266,                0.55929,                 1.3265,             0.00089134,             0.00089134,             0.00089134
                     49,                0.78016,                0.61395,                 1.1445,                0.80796,                0.88398,                0.90055,                0.66013,                0.99308,                0.61786,                  1.407,             0.00087484,             0.00087484,             0.00087484
                     50,                0.76066,                0.61122,                 1.1179,                0.91733,                0.85497,                0.94186,                0.70452,                0.95557,                0.58977,                  1.323,             0.00085834,             0.00085834,             0.00085834
