                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1647,                 2.8963,                 1.4274,                0.49894,                0.28647,                0.41171,                 0.2391,                    1.4,                 3.0141,                 1.4676,             0.00041159,             0.00041159,             0.00041159
                      2,                 1.2037,                 2.2992,                 1.4148,                0.34336,                0.33961,                 0.3312,                0.19818,                  1.472,                 2.9536,                  1.511,             0.00082279,             0.00082279,             0.00082279
                      3,                 1.2696,                 2.0836,                 1.4561,                0.29274,                0.26715,                0.22983,                0.11516,                  1.683,                 3.9825,                 1.7125,              0.0012285,              0.0012285,              0.0012285
                      4,                 1.2561,                 1.9134,                  1.432,                0.43353,                 0.4491,                0.42153,                0.24301,                 1.6734,                 2.6081,                 1.6844,              0.0012252,              0.0012252,              0.0012252
                      5,                 1.2449,                 1.7199,                 1.4289,                0.39142,                0.37648,                0.32403,                0.20078,                 1.4353,                 2.6301,                 1.4477,               0.001217,               0.001217,               0.001217
                      6,                 1.2034,                  1.605,                 1.3946,                0.72155,                0.52151,                0.62365,                0.39875,                 1.4906,                 1.6144,                 1.4765,              0.0012087,              0.0012087,              0.0012087
                      7,                 1.1765,                  1.533,                 1.3659,                0.61275,                0.49996,                0.54468,                0.36148,                 1.4737,                 1.9331,                 1.4817,              0.0012005,              0.0012005,              0.0012005
                      8,                 1.1514,                 1.4238,                 1.3501,                 0.7403,                0.50141,                0.58638,                0.38607,                 1.4524,                 1.9399,                 1.4758,              0.0011922,              0.0011922,              0.0011922
                      9,                 1.1486,                 1.3517,                 1.3517,                0.69287,                0.43439,                0.54258,                  0.391,                 1.2874,                 1.7174,                 1.3462,               0.001184,               0.001184,               0.001184
                     10,                 1.1525,                 1.3198,                 1.3368,                0.65461,                0.49396,                0.60815,                0.39778,                 1.3819,                 1.6502,                 1.4061,              0.0011757,              0.0011757,              0.0011757
                     11,                 1.1215,                 1.2956,                 1.3351,                0.64615,                0.55314,                0.64472,                 0.4185,                 1.4085,                 1.3807,                 1.3938,              0.0011675,              0.0011675,              0.0011675
                     12,                 1.1099,                 1.2336,                 1.3144,                0.61502,                0.59001,                0.62569,                0.38172,                 1.4583,                 1.7386,                 1.4532,              0.0011593,              0.0011593,              0.0011593
                     13,                 1.1156,                 1.2511,                 1.3152,                0.70972,                0.58261,                0.69547,                0.48101,                 1.2728,                 1.2978,                  1.326,               0.001151,               0.001151,               0.001151
                     14,                 1.0756,                 1.1936,                  1.299,                0.71917,                0.53285,                0.62998,                0.42346,                 1.2285,                 1.5632,                 1.3401,              0.0011428,              0.0011428,              0.0011428
                     15,                 1.0913,                 1.1825,                 1.3014,                0.84028,                0.54589,                0.68521,                0.46197,                  1.262,                  1.548,                 1.3365,              0.0011345,              0.0011345,              0.0011345
                     16,                 1.0885,                 1.1581,                 1.3015,                0.69637,                0.59469,                0.64474,                0.43961,                 1.2191,                 1.3992,                 1.3021,              0.0011263,              0.0011263,              0.0011263
                     17,                 1.0717,                 1.1376,                 1.2948,                0.70693,                0.49454,                0.67244,                0.43773,                 1.3654,                  1.593,                 1.3467,               0.001118,               0.001118,               0.001118
                     18,                 1.0819,                 1.1279,                 1.3005,                0.73287,                0.62415,                0.71445,                0.50363,                 1.2639,                 1.2955,                 1.3119,              0.0011098,              0.0011098,              0.0011098
                     19,                  1.037,                 1.0911,                 1.2826,                0.69295,                0.56733,                0.63715,                0.43611,                 1.2837,                 1.4183,                 1.3359,              0.0011015,              0.0011015,              0.0011015
                     20,                  1.026,                 1.0876,                 1.2732,                0.74685,                0.61818,                0.70659,                 0.4785,                 1.2806,                 1.2839,                 1.3697,              0.0010933,              0.0010933,              0.0010933
                     21,                 1.0633,                 1.0824,                 1.2988,                0.78968,                0.55169,                0.67343,                0.45643,                 1.2211,                 1.3283,                 1.3322,               0.001085,               0.001085,               0.001085
                     22,                 1.0094,                 1.0169,                  1.264,                0.84189,                0.54125,                0.69623,                0.48264,                 1.2907,                 1.3616,                 1.3679,              0.0010768,              0.0010768,              0.0010768
                     23,                  1.023,                 1.0265,                 1.2647,                 0.7512,                0.67619,                0.73814,                0.50756,                 1.2265,                 1.2304,                 1.2859,              0.0010685,              0.0010685,              0.0010685
