                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.343,                 1.6004,                 1.8621,                0.82395,                    0.2,                0.52746,                0.28767,                 1.4156,                 3.0582,                 2.0072,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.3361,                  1.556,                 1.8479,                0.14582,                0.89199,                0.52455,                0.31925,                 1.4144,                 3.1345,                 2.0585,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.3338,                 1.5401,                 1.8538,                0.19973,                0.87035,                0.50124,                0.32662,                 1.3251,                 2.9734,                 1.9602,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.3371,                  1.523,                 1.8286,                0.71983,                   0.31,                0.58628,                0.38653,                 1.3139,                 3.2154,                 1.9355,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.2989,                 1.5232,                 1.8168,                0.75132,                   0.25,                0.52113,                0.32178,                 1.3167,                 3.2411,                 1.9255,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.2949,                 1.5283,                 1.8098,                0.14622,                0.91972,                0.54798,                0.35903,                 1.2901,                 3.1734,                 1.8791,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.3016,                 1.4771,                  1.795,                0.73111,                   0.25,                0.53298,                0.33166,                 1.3835,                 2.9833,                 1.9816,             0.00076738,             0.00076738,             0.00076738
                     41,                  1.267,                 1.4349,                 1.7696,                0.16232,                0.91326,                0.54229,                0.35953,                 1.3014,                 3.0303,                 1.9027,               0.000755,               0.000755,               0.000755
                     42,                 1.2555,                 1.4514,                 1.7582,                0.54455,                0.56438,                0.60521,                0.39718,                 1.3382,                 2.8473,                 1.9428,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.2441,                 1.4048,                 1.7518,                0.45724,                0.50865,                0.53247,                0.34717,                 1.3332,                 3.0327,                  1.963,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.2464,                 1.4191,                 1.7599,                0.30749,                0.70169,                 0.4876,                0.31845,                 1.3556,                 3.1402,                 1.9665,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.2569,                 1.3866,                 1.7398,                0.23911,                0.89426,                0.54916,                0.35231,                 1.3861,                 3.0511,                 1.9869,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.2449,                 1.3883,                 1.7365,                0.55385,                0.50959,                0.56701,                0.36532,                 1.3311,                 2.7808,                 1.9166,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.1961,                 1.3152,                 1.7043,                0.34768,                0.77979,                0.62002,                0.40195,                 1.2786,                 2.9869,                 1.8471,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.1979,                 1.3025,                 1.7074,                0.45765,                0.55891,                0.55017,                0.36719,                 1.2606,                 3.0079,                 1.8519,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.2118,                 1.3695,                 1.7197,                0.37923,                0.67484,                0.48748,                0.32898,                 1.3537,                 3.0392,                 1.9376,               0.000656,               0.000656,               0.000656
                     50,                 1.1986,                 1.3069,                 1.6859,                0.53937,                0.58854,                0.62908,                0.42025,                 1.3069,                 2.7347,                 1.8943,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.1927,                 1.2974,                 1.7072,                0.52092,                0.50536,                0.59764,                0.38809,                 1.2829,                 2.8501,                 1.9031,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.1763,                 1.2907,                 1.6735,                 0.2022,                0.91681,                0.55904,                0.36764,                 1.2914,                 2.8111,                 1.8681,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.2122,                 1.2907,                 1.7056,                0.24387,                0.85426,                 0.5774,                0.37117,                  1.369,                 3.0188,                 1.9036,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.1871,                 1.2919,                 1.6662,                0.51404,                 0.5837,                0.60848,                0.40751,                 1.2542,                 2.8713,                 1.7776,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.1633,                 1.2456,                 1.6643,                0.53948,                0.59264,                0.63559,                0.41374,                 1.2955,                 2.6527,                 1.9018,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.1593,                 1.2509,                 1.6671,                0.50214,                0.55856,                0.59157,                0.36189,                 1.2785,                 2.9433,                 1.8675,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.1511,                 1.2242,                 1.6448,                 0.4747,                 0.5944,                0.57075,                0.36679,                 1.2643,                 2.9494,                 1.8438,               0.000557,               0.000557,               0.000557
                     58,                 1.1667,                 1.2296,                 1.6536,                0.49633,                0.60658,                0.63649,                0.42066,                  1.261,                  2.798,                 1.8606,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.1387,                 1.2069,                 1.6399,                0.51729,                0.59667,                0.62779,                0.42384,                 1.2076,                 2.8361,                 1.7868,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.1199,                  1.193,                 1.6202,                 0.5316,                0.51121,                0.57559,                0.36867,                 1.2459,                 2.9593,                 1.7834,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.1199,                  1.169,                 1.6281,                  0.582,                0.54121,                 0.6293,                0.41164,                   1.24,                 2.7134,                 1.8146,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.1171,                 1.1772,                 1.6143,                0.51907,                0.55811,                 0.6059,                0.39883,                  1.237,                 2.8457,                 1.8127,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.1145,                 1.1809,                 1.6208,                0.51576,                0.58338,                0.59591,                0.38622,                 1.2768,                 2.9746,                 1.8531,             0.00048275,             0.00048275,             0.00048275
                     64,                  1.111,                 1.1709,                 1.6051,                0.53236,                0.54766,                0.63331,                0.42472,                 1.2135,                 2.7228,                 1.7698,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.1128,                 1.1689,                 1.6149,                0.54397,                0.56981,                0.67299,                 0.4337,                 1.2525,                 2.7581,                 1.8141,               0.000458,               0.000458,               0.000458
                     66,                 1.1142,                 1.1775,                 1.6072,                0.54081,                0.53834,                0.61947,                0.41212,                 1.2605,                 2.7762,                 1.7768,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.0851,                 1.0929,                 1.5959,                0.38346,                0.78206,                0.60659,                0.38763,                 1.2685,                 3.1764,                  1.848,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0711,                  1.116,                 1.5639,                0.30775,                0.87071,                0.63433,                0.42107,                 1.2343,                 2.9342,                 1.7923,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.0597,                 1.1167,                 1.5635,                0.49374,                0.54248,                0.60396,                0.38081,                 1.2525,                 2.8232,                  1.821,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.0763,                 1.1352,                 1.5808,                0.50207,                0.57802,                0.65053,                0.39731,                 1.2864,                 2.8593,                 1.8822,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.0655,                 1.1135,                 1.5762,                0.52292,                0.53348,                0.65709,                0.42224,                 1.1956,                 2.7583,                 1.7609,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.0504,                 1.1103,                 1.5615,                0.56606,                0.54864,                0.63083,                0.43375,                 1.2073,                 2.7087,                 1.7725,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.0465,                 1.0692,                 1.5409,                0.52789,                0.55843,                0.63181,                0.40649,                 1.2294,                 2.8551,                  1.758,               0.000359,               0.000359,               0.000359
                     74,                  1.058,                 1.0925,                 1.5646,                0.54346,                0.54565,                0.60615,                 0.4048,                 1.2107,                 2.7667,                 1.7343,             0.00034663,             0.00034663,             0.00034663
