                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1446,                 2.8602,                 1.4353,                0.86742,                   0.12,                0.44191,                0.25967,                 1.1459,                 3.0465,                 1.4929,             0.00041016,             0.00041016,             0.00041016
                      2,                 1.1666,                 2.1679,                 1.4194,                0.43913,                0.38647,                0.39431,                0.25014,                 1.1685,                 3.2553,                 1.6399,             0.00081864,             0.00081864,             0.00081864
                      3,                 1.1837,                 1.9774,                 1.4081,                0.33397,                0.43605,                0.34785,                0.21969,                  1.359,                 2.8099,                 1.8095,              0.0012189,              0.0012189,              0.0012189
                      4,                 1.2516,                 1.8725,                 1.4442,                0.75631,                0.16834,                0.36823,                0.19624,                 1.5175,                 3.5735,                 1.8994,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.2316,                 1.7038,                 1.4202,                0.48705,                0.27246,                0.35037,                0.20995,                 1.3077,                 3.2038,                 1.6421,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1943,                 1.5931,                 1.4015,                0.72465,                   0.32,                0.47282,                0.28284,                 1.2665,                 3.3315,                 1.5889,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1623,                 1.4722,                 1.3736,                0.45995,                0.40092,                0.49547,                0.30322,                 1.3397,                 2.8136,                 1.6869,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.1546,                 1.3934,                  1.369,                0.75763,                0.29767,                0.54942,                0.32978,                 1.2625,                 3.2571,                 1.6319,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1647,                 1.3757,                 1.3751,                 0.7008,                   0.24,                0.41222,                0.26282,                 1.2579,                 3.3877,                 1.6477,               0.001151,               0.001151,               0.001151
                     10,                 1.0979,                 1.2684,                 1.3414,                0.15334,                0.81135,                0.45677,                0.30501,                 1.2852,                 3.0907,                  1.598,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1233,                   1.24,                 1.3426,                0.37922,                0.66336,                0.53559,                0.31648,                 1.3822,                 3.0147,                  1.644,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.0989,                 1.2416,                 1.3344,                0.15356,                0.86908,                 0.5621,                 0.3766,                 1.2265,                 3.1115,                 1.5525,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.0643,                 1.1659,                 1.3008,                0.45073,                0.34191,                0.35619,                0.18529,                 1.7369,                 3.3707,                 2.2414,              0.0011015,              0.0011015,              0.0011015
                     14,                   1.06,                 1.1647,                 1.3061,                0.38329,                0.51099,                0.43489,                0.28037,                 1.2691,                 2.8728,                 1.6062,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.0586,                 1.1313,                 1.3063,                0.57372,                0.45421,                0.59567,                0.38165,                 1.2121,                 2.7968,                  1.529,              0.0010768,              0.0010768,              0.0010768
                     16,                  1.038,                 1.1096,                 1.2952,                0.14546,                0.97872,                0.54902,                0.33795,                 1.2851,                 2.8857,                 1.5876,              0.0010644,              0.0010644,              0.0010644
                     17,                  1.029,                 1.0597,                 1.2808,                0.52562,                0.51667,                0.60209,                0.38966,                 1.1857,                 2.6265,                 1.5135,               0.001052,               0.001052,               0.001052
                     18,                 1.0212,                 1.0616,                 1.2647,                0.25348,                0.95518,                 0.5992,                0.40128,                 1.2125,                 2.8568,                 1.5071,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.0501,                 1.0424,                 1.3028,                0.52247,                 0.5083,                0.60858,                0.43207,                 1.1761,                 2.6811,                 1.4667,              0.0010273,              0.0010273,              0.0010273
                     20,                0.98442,                 1.0354,                 1.2558,                0.54404,                0.50717,                0.55454,                0.37306,                 1.2265,                 2.8717,                  1.565,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0002,                 1.0184,                 1.2628,                0.49846,                0.55475,                0.54779,                0.37438,                 1.1905,                 2.6228,                 1.4965,              0.0010025,              0.0010025,              0.0010025
                     22,                0.97851,                0.97654,                 1.2583,                 0.3985,                0.49284,                 0.4629,                0.30584,                 1.1658,                 3.1154,                 1.4508,             0.00099013,             0.00099013,             0.00099013
                     23,                0.98302,                 0.9895,                  1.256,                0.50488,                0.63746,                0.68437,                0.45805,                  1.142,                 2.2712,                 1.4644,             0.00097775,             0.00097775,             0.00097775
                     24,                0.96166,                0.96172,                 1.2409,                0.47089,                0.53711,                0.57392,                0.37909,                 1.2319,                 2.8709,                 1.5482,             0.00096537,             0.00096537,             0.00096537
                     25,                0.96815,                0.94633,                 1.2377,                0.52192,                0.66053,                0.64488,                0.43068,                 1.1668,                 2.3733,                   1.49,               0.000953,               0.000953,               0.000953
                     26,                0.95979,                0.95443,                 1.2381,                0.53125,                0.67395,                 0.5723,                0.38503,                 1.1587,                 2.3732,                 1.4576,             0.00094062,             0.00094062,             0.00094062
                     27,                0.96956,                0.91007,                 1.2344,                 0.5315,                  0.529,                0.60449,                0.40325,                 1.1909,                 2.7084,                 1.5018,             0.00092825,             0.00092825,             0.00092825
                     28,                0.92233,                0.89118,                 1.2139,                 0.5639,                0.54217,                0.63676,                0.46451,                 1.0924,                 2.7768,                 1.4353,             0.00091588,             0.00091588,             0.00091588
                     29,                 0.9224,                0.87527,                 1.2225,                0.20612,                0.91489,                0.59769,                0.40674,                 1.1946,                 3.1675,                 1.4842,              0.0009035,              0.0009035,              0.0009035
                     30,                0.91473,                 0.8831,                 1.2025,                0.52491,                 0.5744,                0.59475,                0.39239,                 1.2438,                 2.4756,                 1.5448,             0.00089112,             0.00089112,             0.00089112
                     31,                0.90139,                 0.8348,                 1.2082,                 0.5522,                0.57794,                0.63601,                0.43018,                 1.1464,                 2.2861,                 1.4193,             0.00087875,             0.00087875,             0.00087875
                     32,                0.92563,                0.86253,                 1.2046,                0.48769,                0.65421,                0.56231,                0.40334,                 1.0619,                  3.143,                 1.3853,             0.00086637,             0.00086637,             0.00086637
                     33,                0.87862,                0.84818,                 1.1892,                0.50188,                0.62598,                0.61642,                0.42771,                 1.1322,                  2.563,                 1.4412,               0.000854,               0.000854,               0.000854
                     34,                0.89098,                 0.8667,                 1.1854,                0.51248,                0.67236,                  0.646,                0.42659,                 1.1321,                 2.0564,                 1.4345,             0.00084162,             0.00084162,             0.00084162
                     35,                 0.8837,                0.82941,                 1.1861,                0.60131,                0.62577,                0.67403,                0.48475,                 1.0633,                 2.3403,                  1.392,             0.00082925,             0.00082925,             0.00082925
                     36,                0.88452,                0.82191,                 1.1916,                0.63819,                0.56177,                 0.6628,                0.47278,                  1.086,                 2.3105,                 1.4134,             0.00081688,             0.00081688,             0.00081688
                     37,                0.86831,                0.77909,                 1.1835,                0.53544,                 0.6579,                0.67481,                0.47643,                 1.0999,                 2.3323,                 1.3971,              0.0008045,              0.0008045,              0.0008045
                     38,                0.84617,                0.76908,                 1.1613,                0.54582,                0.62085,                0.58932,                0.41773,                  1.128,                 2.6781,                 1.4716,             0.00079213,             0.00079213,             0.00079213
                     39,                0.86839,                0.79434,                 1.1789,                0.54025,                0.69078,                0.64447,                0.45536,                 1.1269,                  2.031,                 1.4559,             0.00077975,             0.00077975,             0.00077975
                     40,                0.88959,                0.79864,                 1.1889,                0.53908,                 0.6168,                0.62389,                0.44495,                 1.0778,                 2.5381,                 1.3857,             0.00076738,             0.00076738,             0.00076738
                     41,                0.84755,                0.75428,                 1.1667,                0.59307,                0.64792,                0.66315,                0.47609,                 1.0618,                  1.828,                 1.3834,               0.000755,               0.000755,               0.000755
                     42,                0.82862,                0.75776,                 1.1615,                0.58571,                0.62517,                0.64162,                0.44921,                 1.1394,                 1.9983,                 1.4438,             0.00074263,             0.00074263,             0.00074263
                     43,                0.82704,                0.72924,                 1.1678,                0.58354,                0.52631,                0.59612,                0.41525,                 1.1391,                 2.1258,                 1.4398,             0.00073025,             0.00073025,             0.00073025
                     44,                0.82903,                0.75477,                 1.1577,                0.53938,                0.65433,                0.58824,                0.41978,                 1.1009,                 1.9682,                 1.4362,             0.00071788,             0.00071788,             0.00071788
                     45,                0.83859,                0.73477,                 1.1604,                0.57819,                0.66803,                0.67426,                0.48453,                  1.053,                 2.0036,                 1.3507,              0.0007055,              0.0007055,              0.0007055
                     46,                0.85676,                0.73956,                  1.161,                 0.6267,                0.55637,                0.64859,                0.45403,                 1.1092,                 1.8884,                 1.4163,             0.00069313,             0.00069313,             0.00069313
                     47,                0.80826,                0.70118,                 1.1495,                0.57833,                0.68658,                0.65565,                0.46122,                 1.1419,                 2.0062,                 1.4695,             0.00068075,             0.00068075,             0.00068075
                     48,                0.79496,                0.67825,                 1.1362,                 0.5995,                0.67213,                0.69081,                0.50531,                 1.0451,                 1.7604,                 1.3683,             0.00066838,             0.00066838,             0.00066838
                     49,                0.82351,                 0.7101,                 1.1485,                0.64329,                0.59404,                0.61655,                0.43526,                  1.087,                 2.0486,                 1.4149,               0.000656,               0.000656,               0.000656
                     50,                0.79565,                0.68961,                 1.1374,                0.62161,                0.48979,                0.56791,                0.39601,                 1.1351,                 2.4977,                 1.4484,             0.00064362,             0.00064362,             0.00064362
                     51,                0.78156,                0.66258,                 1.1467,                0.54101,                0.62757,                 0.5751,                0.41865,                 1.0795,                 2.1481,                  1.444,             0.00063125,             0.00063125,             0.00063125
                     52,                0.78005,                0.66685,                 1.1333,                0.60152,                0.61224,                0.61542,                0.44471,                 1.0274,                 1.9441,                 1.3574,             0.00061887,             0.00061887,             0.00061887
                     53,                0.78327,                0.67578,                 1.1272,                0.68727,                0.53395,                0.62969,                0.44836,                 1.0562,                 1.9076,                 1.3529,              0.0006065,              0.0006065,              0.0006065
                     54,                0.77707,                0.69535,                 1.1162,                 0.5576,                 0.6617,                0.61198,                0.44981,                 1.0298,                 1.7394,                  1.356,             0.00059413,             0.00059413,             0.00059413
                     55,                 0.7613,                 0.6592,                 1.1128,                0.61272,                0.67732,                 0.6801,                0.50101,                 1.0441,                 1.5917,                 1.3928,             0.00058175,             0.00058175,             0.00058175
                     56,                0.77196,                0.64541,                 1.1345,                 0.7226,                0.60715,                0.70328,                0.50923,                  1.034,                 1.9808,                 1.3679,             0.00056938,             0.00056938,             0.00056938
                     57,                0.75161,                0.64716,                 1.1092,                0.72492,                0.54277,                0.70429,                0.50829,                 1.0962,                 1.7613,                 1.4239,               0.000557,               0.000557,               0.000557
                     58,                0.76288,                0.63514,                 1.1175,                0.60876,                0.67532,                0.68592,                0.50159,                 1.0356,                 2.0578,                 1.3691,             0.00054463,             0.00054463,             0.00054463
                     59,                0.75378,                0.63664,                 1.1078,                0.55608,                0.68011,                0.60823,                0.43607,                 1.0677,                 2.0291,                 1.4045,             0.00053225,             0.00053225,             0.00053225
                     60,                0.74554,                0.62378,                 1.1058,                 0.6268,                0.63493,                0.67646,                0.49471,                 1.0441,                 1.8014,                 1.3896,             0.00051988,             0.00051988,             0.00051988
                     61,                0.72552,                0.61025,                 1.0951,                0.58201,                 0.6295,                0.66008,                0.47973,                 1.0647,                 2.1601,                 1.3908,              0.0005075,              0.0005075,              0.0005075
                     62,                0.73991,                0.60362,                 1.0951,                0.59148,                0.60986,                0.65518,                0.47202,                 1.0782,                 2.3144,                 1.3772,             0.00049513,             0.00049513,             0.00049513
                     63,                0.72495,                0.61514,                 1.1051,                 0.7014,                0.56596,                0.67682,                0.48825,                  1.059,                  1.687,                 1.3787,             0.00048275,             0.00048275,             0.00048275
                     64,                0.74107,                0.60572,                 1.0954,                0.72735,                0.59781,                0.69952,                0.50755,                 1.0142,                 1.6278,                 1.3423,             0.00047038,             0.00047038,             0.00047038
                     65,                0.71837,                0.60351,                 1.0957,                0.67772,                0.57468,                 0.6732,                0.48287,                 1.0486,                 1.8007,                 1.3626,               0.000458,               0.000458,               0.000458
                     66,                0.70828,                0.61137,                 1.0881,                0.64049,                0.68269,                0.68625,                0.49727,                 1.0117,                  1.757,                 1.3575,             0.00044563,             0.00044563,             0.00044563
                     67,                0.71182,                 0.5911,                 1.0976,                0.59553,                0.65222,                0.66464,                0.48253,                 1.0517,                 1.7607,                 1.3943,             0.00043325,             0.00043325,             0.00043325
                     68,                0.69437,                0.58066,                 1.0721,                0.74664,                0.55759,                0.69624,                0.49981,                 1.0482,                 1.6876,                 1.3985,             0.00042087,             0.00042087,             0.00042087
                     69,                0.67854,                0.56773,                 1.0667,                0.66841,                0.67986,                0.70755,                0.50644,                  1.035,                  1.734,                 1.3678,              0.0004085,              0.0004085,              0.0004085
                     70,                0.68975,                0.58021,                 1.0793,                0.63251,                0.68086,                0.69393,                0.49538,                 1.0819,                 1.7052,                 1.4254,             0.00039613,             0.00039613,             0.00039613
                     71,                0.68994,                0.57501,                 1.0721,                0.55637,                0.66887,                0.63595,                0.46094,                 1.0611,                 2.1347,                  1.381,             0.00038375,             0.00038375,             0.00038375
                     72,                0.68172,                0.57526,                 1.0743,                 0.5986,                0.68241,                0.70177,                0.50103,                 1.0452,                 1.9419,                 1.3564,             0.00037138,             0.00037138,             0.00037138
                     73,                0.66262,                0.54264,                 1.0555,                0.61269,                0.62014,                0.65568,                0.48399,                  1.001,                 1.8871,                 1.3529,               0.000359,               0.000359,               0.000359
                     74,                0.66191,                0.54091,                 1.0634,                0.57418,                0.66029,                0.64953,                0.47365,                 1.0199,                 1.9658,                 1.3737,             0.00034663,             0.00034663,             0.00034663
                     75,                0.66763,                0.53985,                 1.0674,                0.61218,                0.66771,                0.65629,                  0.485,                 1.0102,                 2.1084,                 1.3547,             0.00033425,             0.00033425,             0.00033425
                     76,                0.66939,                0.53493,                  1.063,                0.78015,                0.56235,                0.70646,                0.51725,                 1.0109,                 1.7556,                 1.3536,             0.00032188,             0.00032188,             0.00032188
                     77,                0.67205,                0.52044,                 1.0658,                0.59423,                0.66723,                0.68607,                0.50823,                 1.0153,                 2.0968,                  1.333,              0.0003095,              0.0003095,              0.0003095
                     78,                0.67809,                0.52403,                 1.0764,                0.63349,                0.67243,                0.69611,                0.50409,                 1.0368,                 1.7956,                 1.3733,             0.00029713,             0.00029713,             0.00029713
                     79,                0.67196,                0.53332,                 1.0722,                0.71198,                0.65938,                0.71378,                0.52773,                 1.0228,                 1.7365,                 1.3599,             0.00028475,             0.00028475,             0.00028475
                     80,                0.65675,                0.53204,                 1.0598,                0.57306,                0.60842,                0.59589,                0.44956,                 1.0077,                  2.313,                 1.3539,             0.00027237,             0.00027237,             0.00027237
                     81,                0.64441,                0.52247,                 1.0512,                0.59706,                0.64877,                0.62569,                0.46831,                0.98635,                 2.0603,                 1.3386,                0.00026,                0.00026,                0.00026
                     82,                0.62356,                0.49743,                 1.0397,                0.66184,                0.70257,                0.71906,                0.52483,                0.99582,                 1.5441,                 1.3443,             0.00024762,             0.00024762,             0.00024762
                     83,                0.63939,                 0.5176,                 1.0478,                 0.6456,                0.60697,                0.66129,                0.48364,                 1.0057,                 1.9124,                 1.3654,             0.00023525,             0.00023525,             0.00023525
                     84,                0.64497,                0.51562,                 1.0492,                0.66088,                0.63415,                0.71592,                0.52447,                 1.0365,                   1.85,                 1.3897,             0.00022288,             0.00022288,             0.00022288
                     85,                0.63417,                0.49966,                 1.0496,                0.67787,                 0.6969,                0.72019,                0.52867,                 1.0123,                 1.7986,                 1.3648,              0.0002105,              0.0002105,              0.0002105
                     86,                0.62519,                0.49554,                  1.045,                0.69088,                0.66029,                0.70007,                0.51586,                 1.0141,                 1.6955,                 1.3658,             0.00019813,             0.00019813,             0.00019813
                     87,                0.61653,                0.50066,                  1.033,                0.64782,                0.67756,                0.68342,                 0.5071,                0.98164,                 1.9277,                  1.346,             0.00018575,             0.00018575,             0.00018575
                     88,                0.61773,                0.48234,                 1.0318,                0.70129,                0.67945,                0.69369,                0.50584,                0.99433,                 1.7772,                 1.3541,             0.00017338,             0.00017338,             0.00017338
                     89,                0.61889,                0.48788,                 1.0379,                0.63993,                0.64369,                0.66851,                0.48806,                 1.0222,                  1.865,                 1.3906,               0.000161,               0.000161,               0.000161
                     90,                 0.6061,                0.48422,                 1.0387,                0.60416,                0.68527,                0.68702,                0.50275,                 1.0226,                 1.9333,                 1.3809,             0.00014862,             0.00014862,             0.00014862
                     91,                0.52334,                0.36905,                0.99261,                0.67966,                0.61792,                0.68389,                 0.5057,                 1.0113,                 1.8867,                 1.3791,             0.00013625,             0.00013625,             0.00013625
                     92,                0.49861,                0.32558,                0.97392,                0.63877,                0.62468,                0.69823,                0.51044,                0.99323,                 1.9168,                 1.3674,             0.00012387,             0.00012387,             0.00012387
                     93,                0.48743,                0.32021,                0.96445,                0.66247,                0.59362,                0.66808,                0.49954,                0.99696,                 2.0576,                 1.3704,              0.0001115,              0.0001115,              0.0001115
                     94,                0.48603,                0.30965,                0.96388,                 0.6785,                0.63575,                0.66201,                0.49264,                 1.0127,                 1.9577,                 1.3811,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 0.4757,                0.31653,                0.96712,                0.66733,                0.65016,                0.68486,                0.50498,                 1.0101,                  1.904,                 1.3843,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.46168,                0.30689,                0.95594,                0.66545,                0.63266,                 0.6881,                0.50942,                 1.0012,                 1.8832,                 1.3827,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.45763,                0.30286,                0.94607,                 0.6583,                 0.6191,                0.69835,                0.51861,                 1.0074,                 1.9495,                 1.3973,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.45103,                0.29512,                0.94766,                0.67601,                0.61887,                0.70568,                0.52463,                 1.0121,                 1.9605,                 1.3914,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.43994,                0.29209,                0.94015,                0.67454,                0.62814,                0.68884,                0.51198,                 1.0006,                 1.9799,                 1.3855,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 0.4514,                 0.2945,                0.95322,                0.68575,                0.63498,                0.69496,                0.51605,                0.99693,                 1.9524,                  1.384,             2.4875e-05,             2.4875e-05,             2.4875e-05
