                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1446,                 2.8602,                 1.4353,                0.86742,                   0.12,                0.44191,                0.25967,                 1.1459,                 3.0465,                 1.4929,             0.00041016,             0.00041016,             0.00041016
                      2,                 1.1728,                 2.1784,                 1.4225,                0.37902,                0.35709,                0.38901,                0.22056,                 1.2879,                 3.6578,                 1.6758,             0.00082137,             0.00082137,             0.00082137
                      3,                 1.2115,                 2.0067,                 1.4227,                0.47155,                0.18355,                0.27568,                0.15578,                 1.5962,                 3.4898,                 2.1375,              0.0012271,              0.0012271,              0.0012271
                      4,                 1.2479,                 1.8532,                  1.445,                0.61071,                0.18549,                0.30808,                0.17745,                 1.3787,                  3.575,                 1.7735,              0.0012252,              0.0012252,              0.0012252
                      5,                 1.2512,                 1.7097,                 1.4338,                0.40741,                 0.3483,                0.38574,                0.23596,                 1.2348,                  3.212,                 1.5705,               0.001217,               0.001217,               0.001217
                      6,                 1.2001,                 1.6387,                 1.4124,                0.70722,                   0.18,                0.39509,                0.24371,                 1.3319,                 3.3732,                 1.7343,              0.0012087,              0.0012087,              0.0012087
                      7,                 1.1537,                 1.4961,                 1.3806,                0.41731,                0.50375,                0.54031,                0.32567,                  1.357,                 2.9626,                 1.6737,              0.0012005,              0.0012005,              0.0012005
                      8,                 1.1726,                 1.3897,                 1.3829,                0.82708,                   0.22,                0.49263,                0.29622,                 1.2693,                 3.1275,                 1.6091,              0.0011922,              0.0011922,              0.0011922
                      9,                 1.1696,                 1.3851,                 1.3917,                0.91238,                    0.2,                0.51818,                0.30679,                 1.3623,                 3.1582,                  1.671,               0.001184,               0.001184,               0.001184
                     10,                  1.108,                 1.2886,                 1.3526,                0.67844,                   0.35,                 0.5424,                0.35844,                 1.2413,                 2.9277,                 1.5487,              0.0011757,              0.0011757,              0.0011757
                     11,                  1.139,                 1.2771,                  1.352,                0.43208,                0.41466,                0.46467,                0.29998,                 1.2754,                 2.9499,                 1.5807,              0.0011675,              0.0011675,              0.0011675
                     12,                 1.0942,                 1.2514,                  1.336,                0.67341,                0.30641,                0.54451,                0.34523,                 1.3207,                 3.0677,                 1.6277,              0.0011593,              0.0011593,              0.0011593
                     13,                 1.0859,                 1.2126,                 1.3154,                0.85069,                   0.18,                0.61209,                 0.3784,                 1.3227,                 2.9362,                 1.6333,               0.001151,               0.001151,               0.001151
                     14,                 1.0707,                 1.1855,                 1.3142,                0.57061,                0.40837,                0.61748,                0.40699,                 1.2436,                 2.8414,                 1.5536,              0.0011428,              0.0011428,              0.0011428
                     15,                 1.0701,                 1.1443,                 1.3195,                0.40489,                0.58133,                0.53425,                 0.3486,                 1.2816,                 2.8022,                  1.582,              0.0011345,              0.0011345,              0.0011345
                     16,                 1.0647,                 1.1293,                 1.3214,                 0.6657,                   0.27,                0.40023,                0.25436,                 1.3244,                  3.443,                 1.5926,              0.0011263,              0.0011263,              0.0011263
                     17,                 1.0361,                 1.0795,                 1.2835,                0.57886,                0.45973,                0.56746,                0.37208,                 1.2663,                 2.7433,                 1.6058,               0.001118,               0.001118,               0.001118
                     18,                 1.0211,                  1.062,                 1.2672,                0.17962,                0.93099,                0.55111,                0.35398,                 1.2754,                 3.0993,                 1.5713,              0.0011098,              0.0011098,              0.0011098
                     19,                 1.0634,                 1.0712,                 1.3124,                0.53408,                 0.5944,                0.64047,                0.45297,                 1.1526,                 2.5564,                 1.4497,              0.0011015,              0.0011015,              0.0011015
                     20,                 1.0042,                 1.0486,                 1.2736,                 0.5368,                 0.4861,                0.59543,                0.40579,                 1.1368,                 2.7738,                 1.4207,              0.0010933,              0.0010933,              0.0010933
                     21,                  1.014,                 1.0533,                 1.2798,                0.45176,                 0.5597,                0.52515,                 0.3477,                 1.1668,                  2.728,                 1.4636,               0.001085,               0.001085,               0.001085
                     22,                0.98505,                 1.0089,                 1.2563,                0.54959,                0.38261,                0.57713,                0.38907,                 1.2162,                 2.7906,                 1.5254,              0.0010768,              0.0010768,              0.0010768
                     23,                0.99283,                0.99464,                 1.2642,                0.54437,                0.54686,                 0.5874,                0.39981,                 1.2367,                 2.7908,                 1.5361,              0.0010685,              0.0010685,              0.0010685
                     24,                0.97404,                0.96394,                 1.2549,                0.40199,                0.46919,                0.49496,                0.31444,                 1.2956,                 3.0431,                 1.5561,              0.0010603,              0.0010603,              0.0010603
                     25,                0.98911,                0.95718,                 1.2551,                0.54966,                0.61277,                0.61842,                0.41385,                 1.2314,                 2.3894,                 1.5426,               0.001052,               0.001052,               0.001052
                     26,                 0.9733,                0.96667,                 1.2462,                 0.5053,                0.61858,                0.61614,                0.40282,                 1.1462,                 2.7309,                 1.4733,              0.0010438,              0.0010438,              0.0010438
                     27,                0.98301,                0.93453,                 1.2504,                0.59923,                 0.6268,                0.69048,                0.45633,                 1.1474,                 2.5874,                 1.4702,              0.0010355,              0.0010355,              0.0010355
                     28,                0.93691,                0.92937,                 1.2298,                0.57074,                0.56174,                0.57867,                0.40981,                 1.1395,                 2.5066,                 1.4731,              0.0010273,              0.0010273,              0.0010273
                     29,                0.94077,                0.91758,                   1.24,                0.16115,                0.89553,                0.48907,                 0.3335,                 1.1152,                 3.2076,                 1.4382,               0.001019,               0.001019,               0.001019
                     30,                0.92415,                0.88575,                 1.2227,                0.47249,                0.62793,                0.51976,                0.34282,                 1.2005,                 2.3119,                 1.5223,              0.0010107,              0.0010107,              0.0010107
                     31,                0.92247,                0.86131,                 1.2207,                0.56194,                0.68404,                0.69076,                0.48099,                 1.1197,                  2.229,                 1.4357,              0.0010025,              0.0010025,              0.0010025
                     32,                0.92084,                0.89556,                 1.2145,                0.52966,                0.55845,                0.54366,                0.38007,                 1.1782,                 2.9162,                 1.4914,             0.00099425,             0.00099425,             0.00099425
                     33,                0.90297,                0.87336,                 1.2075,                0.48913,                0.54253,                0.55622,                 0.3651,                 1.1773,                 2.9676,                 1.4522,               0.000986,               0.000986,               0.000986
                     34,                0.90976,                0.86865,                 1.1988,                0.48544,                0.69113,                0.57317,                0.37994,                 1.1415,                 2.3515,                 1.4091,             0.00097775,             0.00097775,             0.00097775
                     35,                0.90834,                0.83904,                 1.2016,                0.59375,                0.66087,                0.69337,                0.48833,                 1.0166,                 2.3234,                 1.3607,              0.0009695,              0.0009695,              0.0009695
                     36,                0.91198,                0.86424,                 1.2175,                0.56033,                0.60922,                0.63843,                0.44355,                 1.0747,                 2.4133,                 1.3863,             0.00096125,             0.00096125,             0.00096125
                     37,                0.90576,                0.81005,                 1.1967,                0.58387,                0.57589,                0.67611,                0.47012,                 1.0721,                 2.6641,                 1.4123,               0.000953,               0.000953,               0.000953
                     38,                0.87817,                0.81537,                 1.1822,                0.49058,                0.55667,                 0.5838,                0.41167,                 1.1074,                 2.6109,                 1.4311,             0.00094475,             0.00094475,             0.00094475
                     39,                0.90047,                0.82524,                 1.2037,                0.52987,                0.60776,                  0.581,                0.40129,                 1.1738,                 2.5802,                 1.5174,              0.0009365,              0.0009365,              0.0009365
                     40,                0.90546,                0.81569,                 1.1981,                0.52915,                0.62277,                0.64124,                  0.423,                 1.1115,                 2.5142,                 1.3959,             0.00092825,             0.00092825,             0.00092825
                     41,                0.86613,                0.78452,                 1.1775,                0.49431,                0.61454,                 0.5776,                0.41399,                 1.0778,                 2.3145,                 1.4228,                0.00092,                0.00092,                0.00092
                     42,                0.84881,                 0.7928,                 1.1744,                 0.4999,                0.71752,                0.67345,                 0.4861,                 1.0484,                 2.0361,                 1.3909,             0.00091175,             0.00091175,             0.00091175
                     43,                0.85086,                0.75008,                 1.1768,                0.56433,                0.62887,                0.63327,                0.44427,                 1.1162,                 1.8827,                 1.4402,              0.0009035,              0.0009035,              0.0009035
                     44,                0.84198,                0.77007,                 1.1694,                0.54378,                 0.6795,                0.64957,                0.44484,                 1.1314,                 2.2907,                 1.4632,             0.00089525,             0.00089525,             0.00089525
                     45,                0.86555,                0.77046,                  1.177,                0.57666,                0.62922,                0.63392,                0.45849,                   1.01,                 2.3922,                 1.3558,               0.000887,               0.000887,               0.000887
                     46,                0.86503,                0.76698,                 1.1717,                0.67651,                0.56277,                0.67591,                0.48317,                 1.0027,                 1.8545,                  1.384,             0.00087875,             0.00087875,             0.00087875
                     47,                0.82162,                0.72627,                 1.1618,                0.63746,                0.63749,                0.63804,                0.44969,                 1.0721,                 1.8102,                  1.406,              0.0008705,              0.0008705,              0.0008705
                     48,                0.83831,                0.71464,                 1.1598,                0.62709,                0.65431,                 0.7013,                0.49283,                 1.0782,                 1.9799,                 1.3995,             0.00086225,             0.00086225,             0.00086225
                     49,                0.85836,                0.74435,                 1.1732,                0.63366,                0.69014,                0.72035,                0.49818,                  1.041,                  1.761,                 1.3686,               0.000854,               0.000854,               0.000854
                     50,                 0.8215,                0.72684,                 1.1516,                0.57839,                0.62087,                0.65159,                0.46489,                 1.1014,                 2.5538,                 1.4038,             0.00084575,             0.00084575,             0.00084575
                     51,                0.80275,                0.72939,                 1.1555,                 0.5147,                0.67585,                0.61954,                0.42579,                 1.1313,                 2.0291,                 1.4494,              0.0008375,              0.0008375,              0.0008375
                     52,                0.81203,                0.72804,                  1.149,                0.61242,                0.63722,                0.62929,                0.43596,                 1.1304,                 1.9875,                 1.4289,             0.00082925,             0.00082925,             0.00082925
                     53,                0.82608,                0.71005,                  1.146,                0.65601,                0.55311,                0.66086,                0.46571,                  1.089,                 2.3348,                 1.3896,               0.000821,               0.000821,               0.000821
                     54,                0.81497,                0.70612,                  1.138,                0.56535,                0.70628,                0.66087,                0.46873,                 1.1012,                 1.9049,                 1.4009,             0.00081275,             0.00081275,             0.00081275
                     55,                0.80181,                0.70044,                 1.1398,                0.58217,                0.75036,                 0.6952,                0.49844,                 1.0604,                 1.6742,                 1.3746,              0.0008045,              0.0008045,              0.0008045
                     56,                  0.804,                0.68457,                  1.148,                0.67535,                0.65113,                0.72413,                0.51951,                  1.065,                 1.8208,                 1.4176,             0.00079625,             0.00079625,             0.00079625
                     57,                0.78618,                0.67626,                 1.1281,                0.69286,                0.55794,                0.70089,                0.49435,                 1.0492,                 1.8774,                 1.3996,               0.000788,               0.000788,               0.000788
                     58,                0.79664,                0.67528,                 1.1332,                0.62617,                0.69065,                0.70714,                0.50606,                0.98569,                 1.8422,                 1.3183,             0.00077975,             0.00077975,             0.00077975
                     59,                0.79667,                0.67804,                 1.1433,                0.63052,                 0.5434,                0.62584,                0.44585,                 1.0826,                 1.9594,                 1.4271,              0.0007715,              0.0007715,              0.0007715
                     60,                0.78668,                0.67476,                 1.1326,                0.57932,                0.57971,                0.59023,                0.41999,                 1.0979,                 2.3872,                 1.4119,             0.00076325,             0.00076325,             0.00076325
                     61,                0.76914,                0.66515,                 1.1199,                0.72028,                 0.6078,                0.71365,                0.51835,                 1.0125,                 1.5658,                 1.3364,               0.000755,               0.000755,               0.000755
                     62,                0.79131,                 0.6508,                 1.1249,                0.55705,                0.66887,                0.70113,                0.50504,                 1.0645,                 1.8909,                 1.3964,             0.00074675,             0.00074675,             0.00074675
                     63,                0.76258,                0.65954,                 1.1281,                0.59795,                0.63399,                0.65553,                0.46812,                 1.0239,                 2.0244,                 1.3581,              0.0007385,              0.0007385,              0.0007385
                     64,                0.76253,                0.66104,                 1.1141,                0.59074,                0.63113,                0.64291,                0.46674,                 1.0501,                 2.1109,                 1.3437,             0.00073025,             0.00073025,             0.00073025
                     65,                0.76344,                0.66549,                 1.1204,                0.70557,                0.62476,                0.65144,                0.45983,                  1.107,                 1.6945,                 1.4022,               0.000722,               0.000722,               0.000722
                     66,                0.75107,                 0.6513,                 1.1121,                0.63407,                0.59275,                0.62788,                0.44183,                 1.0998,                 2.0492,                 1.4317,             0.00071375,             0.00071375,             0.00071375
                     67,                0.75578,                0.61517,                 1.1176,                0.60908,                 0.7256,                0.68255,                0.49502,                 1.0704,                 1.8632,                 1.3927,              0.0007055,              0.0007055,              0.0007055
                     68,                0.71908,                0.60555,                 1.0802,                0.61207,                0.66125,                0.66882,                0.49225,                 1.0117,                 1.9875,                 1.3546,             0.00069725,             0.00069725,             0.00069725
                     69,                0.73323,                0.60525,                 1.0927,                0.60546,                0.72846,                0.69751,                0.51036,                 1.0123,                 1.5905,                 1.3444,               0.000689,               0.000689,               0.000689
                     70,                0.73391,                0.63113,                 1.1075,                0.69492,                 0.6856,                0.70314,                0.48774,                 1.1015,                 1.5092,                 1.4391,             0.00068075,             0.00068075,             0.00068075
                     71,                0.74505,                0.62024,                 1.1022,                0.62166,                0.67624,                0.63467,                0.44695,                 1.0535,                 1.6274,                  1.349,              0.0006725,              0.0006725,              0.0006725
                     72,                0.74602,                0.61465,                  1.102,                0.59925,                 0.6153,                0.63839,                0.45727,                 1.0527,                 2.1869,                 1.3904,             0.00066425,             0.00066425,             0.00066425
                     73,                0.72423,                0.61184,                 1.0872,                0.56812,                0.61748,                0.60465,                0.44205,                 1.0469,                 1.9367,                 1.3839,               0.000656,               0.000656,               0.000656
                     74,                 0.7174,                0.60184,                 1.0948,                0.59583,                0.64662,                0.64653,                0.47607,                 1.0193,                 1.9362,                 1.3417,             0.00064775,             0.00064775,             0.00064775
                     75,                0.72389,                0.60068,                 1.0952,                0.57627,                0.61522,                0.61731,                0.43708,                 1.0976,                 2.7795,                  1.433,              0.0006395,              0.0006395,              0.0006395
                     76,                0.73521,                0.58837,                 1.0957,                0.68165,                0.59181,                0.68353,                0.49654,                 1.0119,                 1.5612,                 1.3433,             0.00063125,             0.00063125,             0.00063125
                     77,                0.71041,                0.57577,                 1.0888,                0.64951,                 0.6227,                0.69743,                0.49239,                 1.0185,                 1.4507,                 1.3789,               0.000623,               0.000623,               0.000623
                     78,                0.72228,                 0.5935,                 1.1012,                 0.6247,                0.67522,                0.71932,                 0.5194,                 1.0295,                 1.6822,                 1.3834,             0.00061475,             0.00061475,             0.00061475
                     79,                0.72917,                0.60032,                    1.1,                0.64212,                0.68353,                0.68353,                0.49227,                 1.0519,                 2.0125,                 1.4043,              0.0006065,              0.0006065,              0.0006065
                     80,                0.71742,                0.59352,                 1.0942,                0.58928,                0.61349,                0.60883,                0.44621,                 1.0264,                 2.5057,                 1.3723,             0.00059825,             0.00059825,             0.00059825
                     81,                0.70031,                0.58767,                  1.083,                0.63586,                0.67142,                0.68028,                0.49451,                 1.0409,                  1.699,                 1.3641,                0.00059,                0.00059,                0.00059
                     82,                0.68925,                0.56873,                 1.0717,                0.68567,                0.59695,                0.66078,                0.47228,                 1.0135,                 2.0921,                  1.354,             0.00058175,             0.00058175,             0.00058175
