                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1803,                 2.4487,                 1.4442,                0.44529,                 0.4317,                0.34499,                0.18988,                  1.389,                 2.2155,                 1.8565,             0.00054698,             0.00054698,             0.00054698
                      2,                 1.2389,                 1.9525,                 1.4854,                0.73923,                0.26596,                0.36513,                 0.1979,                 1.5128,                 4.8279,                 2.1011,              0.0010954,              0.0010954,              0.0010954
                      3,                 1.2731,                 1.8411,                 1.4862,                0.46094,                0.43723,                0.38284,                0.21159,                 1.7881,                  3.698,                 2.2167,              0.0016364,              0.0016364,              0.0016364
                      4,                 1.3464,                 1.7205,                 1.5254,                0.58495,                0.55879,                0.51795,                 0.2899,                 1.5968,                 2.0728,                 2.0141,               0.001634,               0.001634,               0.001634
                      5,                 1.3134,                 1.5039,                 1.4806,                0.48587,                0.40603,                0.43884,                0.22061,                 1.7961,                 2.1057,                 2.1865,               0.001623,               0.001623,               0.001623
                      6,                 1.2635,                 1.4629,                 1.4604,                0.57737,                0.56452,                0.61386,                0.34249,                 1.6483,                 1.5154,                 2.0246,               0.001612,               0.001612,               0.001612
                      7,                 1.2266,                 1.3615,                 1.4408,                0.71783,                0.54555,                0.64707,                0.40064,                 1.3086,                 1.3296,                 1.6194,               0.001601,               0.001601,               0.001601
                      8,                 1.2258,                 1.2535,                 1.4308,                0.53399,                0.42156,                0.42763,                0.24883,                 1.5057,                 1.9977,                 1.8086,                0.00159,                0.00159,                0.00159
                      9,                 1.2128,                 1.2453,                 1.4245,                0.51334,                0.61684,                0.55735,                0.33127,                 1.4189,                 1.3722,                  1.684,               0.001579,               0.001579,               0.001579
                     10,                 1.1669,                 1.1896,                 1.4005,                0.60593,                0.43723,                0.44635,                0.26966,                 1.5414,                 1.7831,                 1.8628,               0.001568,               0.001568,               0.001568
                     11,                 1.1864,                 1.1488,                 1.4017,                0.56223,                0.56496,                0.59867,                0.37994,                  1.304,                 1.3777,                 1.5879,               0.001557,               0.001557,               0.001557
                     12,                 1.1402,                 1.1497,                 1.3783,                0.69583,                0.56424,                0.68749,                0.43431,                 1.3499,                 1.3939,                 1.6657,               0.001546,               0.001546,               0.001546
                     13,                 1.1411,                 1.1044,                 1.3723,                0.66418,                0.50723,                0.60772,                0.36478,                 1.4246,                 1.5202,                 1.7945,               0.001535,               0.001535,               0.001535
                     14,                 1.1052,                 1.0643,                 1.3448,                0.59316,                0.52601,                0.56419,                0.32404,                 1.5018,                 1.5892,                 1.7602,               0.001524,               0.001524,               0.001524
                     15,                 1.1325,                  1.041,                 1.3731,                0.66789,                0.66234,                0.66152,                0.42816,                 1.2531,                  1.131,                 1.5455,               0.001513,               0.001513,               0.001513
                     16,                 1.1152,                 1.0439,                 1.3596,                0.57518,                0.69845,                0.68334,                0.42895,                 1.2888,                 1.1443,                 1.5814,               0.001502,               0.001502,               0.001502
                     17,                 1.0984,                0.98686,                 1.3393,                 0.6115,                0.69226,                0.70559,                0.44481,                 1.2572,                 1.1235,                 1.5537,               0.001491,               0.001491,               0.001491
                     18,                 1.0717,                0.98326,                  1.311,                0.58935,                0.72056,                0.71467,                0.45007,                 1.2899,                 1.1008,                  1.602,                0.00148,                0.00148,                0.00148
                     19,                  1.119,                0.96358,                 1.3452,                0.65552,                0.60624,                0.65121,                0.40528,                 1.2575,                 1.1194,                 1.5278,               0.001469,               0.001469,               0.001469
                     20,                 1.0345,                 0.9669,                  1.304,                0.53322,                0.67652,                 0.6153,                0.40706,                 1.2669,                 1.1808,                 1.5632,               0.001458,               0.001458,               0.001458
