                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4252,                 4.5441,                 4.1646,                0.00394,                0.38369,                0.00419,                0.00126,                 3.0126,                 4.0112,                 4.0317,             0.00041016,             0.00041016,             0.00041016
                      2,                 3.1331,                 4.2195,                 3.8405,                 0.0004,                   0.33,                 0.0005,                0.00015,                 2.8383,                 4.5477,                 3.6455,             0.00082137,             0.00082137,             0.00082137
                      3,                 2.8259,                 3.9769,                 3.4507,                0.00066,                   0.28,                0.00881,                0.00207,                  2.735,                 6.5375,                 3.3916,              0.0012271,              0.0012271,              0.0012271
                      4,                 2.6348,                 3.7637,                 3.2176,                 0.5041,                    0.1,                0.02753,                0.00384,                  2.416,                 19.202,                 3.2145,              0.0012252,              0.0012252,              0.0012252
                      5,                 2.5355,                 3.5995,                  3.076,                0.02267,                0.32255,                0.03743,                0.01321,                 2.4134,                 5.2066,                  3.261,               0.001217,               0.001217,               0.001217
                      6,                 2.3767,                 3.4588,                 2.9707,                0.00118,                   0.24,                0.00333,                0.00108,                 2.3557,                 8.6098,                 3.0799,              0.0012087,              0.0012087,              0.0012087
                      7,                 2.2856,                 3.3145,                 2.8578,                0.69406,                   0.09,                0.08892,                0.01892,                 2.3159,                 6.6852,                 3.0961,              0.0012005,              0.0012005,              0.0012005
                      8,                 2.1727,                  3.155,                 2.7839,                0.72365,                   0.09,                0.18065,                0.04795,                 2.1406,                 4.6888,                 2.9789,              0.0011922,              0.0011922,              0.0011922
                      9,                 2.1005,                 2.9776,                  2.722,                0.60733,                   0.06,                0.03486,                0.01289,                 2.1259,                  4.896,                 2.9438,               0.001184,               0.001184,               0.001184
                     10,                 2.0082,                 2.8732,                 2.6518,                0.60734,                   0.11,                 0.0637,                0.02752,                  2.085,                 5.1674,                 2.8641,              0.0011757,              0.0011757,              0.0011757
                     11,                 1.9514,                 2.7358,                 2.5729,                 0.7028,                0.08876,                0.13283,                0.05668,                 1.9365,                 4.2012,                 2.7929,              0.0011675,              0.0011675,              0.0011675
                     12,                 1.9095,                 2.6509,                 2.5208,                0.62282,                   0.16,                0.14381,                0.06566,                 1.8965,                 5.0951,                 2.7569,              0.0011593,              0.0011593,              0.0011593
                     13,                 1.8125,                 2.5371,                 2.4651,                0.70274,                   0.14,                0.22732,                0.10248,                 1.9089,                 3.8229,                 2.7497,               0.001151,               0.001151,               0.001151
                     14,                 1.8096,                 2.4693,                 2.4557,                0.64819,                   0.15,                0.17698,                0.09505,                 1.8037,                 4.1363,                 2.6523,              0.0011428,              0.0011428,              0.0011428
                     15,                  1.747,                 2.3553,                 2.3994,                0.64632,                   0.17,                 0.2096,                0.10755,                 1.8468,                  4.215,                 2.6796,              0.0011345,              0.0011345,              0.0011345
                     16,                 1.7146,                 2.3445,                 2.3546,                0.65916,                   0.14,                0.28759,                0.15597,                  1.692,                 3.9058,                 2.5902,              0.0011263,              0.0011263,              0.0011263
                     17,                 1.6493,                 2.1844,                 2.2934,                0.78536,                   0.12,                0.33933,                0.19294,                  1.719,                 3.6774,                 2.5966,               0.001118,               0.001118,               0.001118
                     18,                 1.6307,                 2.1395,                 2.2609,                0.77528,                0.14708,                  0.355,                0.21657,                 1.6003,                 3.8516,                 2.4201,              0.0011098,              0.0011098,              0.0011098
                     19,                 1.6399,                 2.1277,                 2.2589,                0.76089,                0.15282,                0.31063,                0.17447,                 1.6862,                 4.0415,                 2.5142,              0.0011015,              0.0011015,              0.0011015
                     20,                 1.5894,                 2.0828,                 2.2228,                0.60355,                   0.21,                0.25574,                0.13892,                 1.6445,                 3.7735,                 2.4963,              0.0010933,              0.0010933,              0.0010933
                     21,                 1.5712,                 2.0744,                  2.191,                0.64721,                   0.24,                0.35886,                0.20328,                 1.6454,                 3.4199,                 2.4686,               0.001085,               0.001085,               0.001085
                     22,                 1.5339,                 1.9983,                 2.1494,                0.73781,                   0.13,                0.31334,                0.17697,                 1.7406,                 3.6383,                 2.5403,              0.0010768,              0.0010768,              0.0010768
                     23,                 1.5216,                  1.925,                 2.1437,                0.65477,                   0.17,                0.34418,                0.19076,                 1.5731,                 3.7654,                 2.4456,              0.0010685,              0.0010685,              0.0010685
                     24,                 1.5187,                 1.9116,                 2.1235,                0.64978,                   0.26,                0.33689,                0.19978,                 1.5739,                 3.9262,                 2.3933,              0.0010603,              0.0010603,              0.0010603
                     25,                 1.4808,                 1.8488,                 2.0788,                0.74069,                0.17642,                0.38389,                0.23655,                 1.5359,                 3.6305,                 2.3486,               0.001052,               0.001052,               0.001052
